매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47555225,150,27,2,35.838369958887,128.757900399051,경상북도 경산시 조영동,511,321,123,106,2105,163,209
47555072,200,37,2,35.8398192414947,128.755083308001,경상북도 경산시 조영동,442,70,46,178,1921,54,177
47554735,100,30,2,35.8378143531176,128.751506539883,경상북도 경산시 대동,210,247,37,197,1538,62,226
47554534,100,27,2,35.8377223548954,128.759012471786,경상북도 경산시 조영동,578,441,43,202,2183,115,259
47553448,300,28,3,35.8425863621595,128.758937612332,경상북도 경산시 압량읍 부적리,890,65,174,271,2366,97,106
47553208,100,23,2,35.8398574463648,128.751044708729,경상북도 경산시 대동,430,245,208,387,1595,108,287
47552546,200,32,2,35.839801993885,128.754394784948,경상북도 경산시 조영동,416,51,32,186,1863,116,149
47552062,200,30,2,35.838827603984,128.754715952571,경상북도 경산시 조영동,329,61,63,74,1849,117,219
47551818,200,30,3,35.8388614533287,128.753619644237,경상북도 경산시 조영동,295,38,27,147,1758,27,208
47550905,200,30,3,35.8397077526845,128.758775657962,경상북도 경산시 압량읍 부적리,656,314,116,70,2226,46,40
47549836,200,40,2,35.8391006216776,128.753933785512,경상북도 경산시 조영동,329,29,12,141,1794,43,219
47549630,100,22,1,35.8402118161182,128.752561707738,경상북도 경산시 조영동,438,148,123,315,1734,89,151
47549559,200,30,3,35.8382375042062,128.75924175123,경상북도 경산시 조영동,615,441,18,168,2217,59,203
47549416,200,30,2,35.8392954893512,128.758806395796,경상북도 경산시 압량읍 부적리,633,358,141,78,2214,34,84
47549165,100,30,2,35.8391409857955,128.752495428901,경상북도 경산시 조영동,320,103,66,248,1677,48,247
47549026,100,30,2,35.8382991950801,128.754091989617,경상북도 경산시 조영동,251,109,43,87,1776,102,147
47548992,150,23,1,35.8401962786315,128.752786690186,경상북도 경산시 조영동,436,134,107,300,1751,99,137
47548901,200,25,2,35.8391162251672,128.751771111457,경상북도 경산시 대동,331,169,116,282,1616,50,287
47548852,150,28,1,35.8406172765717,128.753626980724,경상북도 경산시 조영동,488,157,92,296,1840,131,54
47548813,200,25,4,35.8387121922086,128.751521744344,경상북도 경산시 대동,296,199,74,265,1577,78,280
47548669,150,29,1,35.8400571031729,128.752937790713,경상북도 경산시 조영동,420,114,87,279,1757,98,140
47547462,100,30,1,35.8389436318998,128.758964296994,경상북도 경산시 조영동,625,394,99,101,2215,57,123
47547451,70,19,2,35.84035080031026,128.75515212652513,경상북도 경산시 조영동,498,123,25,198,1951,83,139
47546479,200,30,3,35.8400713261704,128.759110051194,경상북도 경산시 압량읍 부적리,704,268,78,75,2268,71,16
47546015,200,36,2,35.8392730233987,128.750868403338,경상북도 경산시 대동,378,250,155,351,1551,116,335
47545932,200,30,2,35.840366392,128.754282048211,경상북도 경산시 조영동,473,115,33,249,1880,144,87
47545655,200,28,2,35.8397707966362,128.751369721666,경상북도 경산시 대동,411,214,188,362,1616,77,267
47544817,100,25,2,35.8405315896811,128.754089246444,경상북도 경산시 조영동,486,137,57,272,1873,154,63
47542572,300,48,3,35.8389536453154,128.757300952725,경상북도 경산시 조영동,499,252,90,71,2073,90,166
47541631,150,28,4,35.8391053339633,128.754777404951,경상북도 경산시 조영동,359,35,85,102,1865,107,233
