법정동,건축년도,전용면적,보증금,월세,계약일,노후도
임당동,2005,23.14,100,15,2025-6-24,21
조영동,2015,20.0,150,24,2025-6-23,11
압량읍 부적리,2018,50.0,10500,0,2025-6-23,8
대동,2009,60.0,50,50,2025-6-2,17
조영동,2018,44.56,6500,0,2025-6-9,8
압량읍 부적리,2008,26.0,70,17,2025-6-5,18
압량읍 부적리,2019,50.0,1000,30,2025-6-10,7
조영동,2002,20.0,100,20,2025-6-3,24
조영동,1999,24.75,4500,0,2025-6-2,27
조영동,2012,18.0,200,28,2025-5-22,14
압량읍 부적리,1981,88.89,350,32,2025-5-10,45
압량읍 부적리,2015,19.87,100,25,2025-5-2,11
대동,2012,21.0,200,29,2025-5-31,14
압량읍 부적리,2016,30.0,300,30,2025-5-22,10
임당동,2006,25.0,100,23,2025-5-27,20
임당동,2004,25.0,50,13,2025-5-26,22
대동,2002,20.0,100,25,2025-5-23,24
임당동,2007,23.0,50,15,2025-5-16,19
임당동,2007,28.0,100,26,2025-5-20,19
조영동,2001,20.0,50,19,2025-5-14,25
임당동,2002,30.0,70,16,2025-5-20,24
조영동,2002,23.14,100,25,2025-5-13,24
압량읍 부적리,2016,40.0,300,30,2025-4-10,10
압량읍 부적리,2008,40.0,200,29,2025-4-12,18
압량읍 부적리,2015,33.0,200,35,2025-4-9,11
임당동,2012,21.0,70,20,2025-4-28,14
조영동,1999,23.56,4500,0,2025-4-5,27
압량읍 부적리,2012,25.5,500,30,2025-4-5,14
압량읍 부적리,2000,27.0,100,25,2025-4-3,26
압량읍 부적리,2014,30.0,150,26,2025-4-26,12
대동,2002,20.0,150,28,2025-4-29,24
압량읍 부적리,1992,55.0,200,35,2025-4-26,34
압량읍 부적리,2018,81.48,2000,30,2025-4-21,8
압량읍 부적리,2007,21.175,100,22,2025-4-15,19
압량읍 부적리,2004,27.0,150,28,2025-4-15,22
압량읍 부적리,2018,50.0,12500,0,2025-4-15,8
압량읍 부적리,2018,47.01,500,30,2025-4-7,8
압량읍 부적리,2014,21.0,150,31,2025-4-1,12
압량읍 부적리,2017,36.0,1000,45,2025-4-1,9
임당동,2005,38.0,200,30,2025-4-4,21
조영동,2015,110.0,5000,30,2025-4-1,11
압량읍 부적리,2008,39.0,300,36,2025-3-20,18
조영동,2012,27.35,4500,0,2025-3-28,14
조영동,2005,21.0,100,23,2025-3-1,21
조영동,2002,25.0,100,21,2025-3-25,24
압량읍 부적리,2016,90.0,13000,0,2025-3-25,10
조영동,2013,23.0,100,18,2025-3-17,13
임당동,2004,52.9,500,42,2025-3-8,22
압량읍 부적리,2014,110.0,1000,45,2025-3-6,12
임당동,2003,30.0,2500,0,2025-3-9,23
조영동,2003,20.0,200,28,2025-3-11,23
조영동,2001,25.5,100,28,2025-3-12,25
압량읍 부적리,2013,55.58,500,30,2025-3-2,13
임당동,2001,23.1,100,25,2025-3-8,25
압량읍 부적리,2009,23.14,50,20,2025-3-10,17
조영동,2016,27.0,200,30,2025-3-3,10
조영동,1999,25.0,200,30,2025-3-10,27
임당동,2002,20.0,70,15,2025-3-5,24
임당동,2003,30.275,100,25,2025-3-2,23
압량읍 부적리,2017,32.0,300,40,2025-2-21,9
조영동,2014,33.0,2000,29,2025-2-10,12
조영동,2018,27.0,200,30,2025-2-8,8
조영동,2013,20.0,4000,0,2025-2-9,13
대동,2013,25.0,200,30,2025-2-2,13
대동,2011,20.0,100,29,2025-2-1,15
압량읍 부적리,2012,25.0,100,30,2025-2-3,14
압량읍 부적리,2022,25.0,300,25,2025-2-28,4
조영동,2011,21.0,100,30,2025-2-23,15
조영동,2001,20.7,200,28,2025-2-1,25
조영동,2012,27.0,200,25,2025-2-1,14
임당동,2002,27.0,100,22,2025-2-25,24
조영동,2007,35.0,100,27,2025-2-15,19
조영동,2012,20.0,200,30,2025-2-2,14
임당동,2000,20.0,70,21,2025-2-2,26
압량읍 부적리,2014,25.0,100,25,2025-2-17,12
조영동,2023,25.0,300,30,2025-2-7,3
대동,2003,20.0,150,25,2025-2-23,23
대동,2014,30.0,300,40,2025-2-25,12
조영동,2012,20.0,200,28,2025-2-8,14
조영동,2016,25.0,200,28,2025-2-4,10
조영동,2001,19.8,100,25,2025-2-11,25
조영동,2002,45.0,100,26,2025-2-3,24
조영동,2012,20.0,150,24,2025-2-18,14
압량읍 부적리,2019,22.58,500,30,2025-2-19,7
조영동,2013,20.0,200,30,2025-2-27,13
조영동,2007,30.0,150,27,2025-2-25,19
조영동,2002,20.0,100,23,2025-2-2,24
압량읍 부적리,2016,40.0,500,45,2025-2-4,10
대동,2006,21.0,50,30,2025-2-6,20
대동,2007,25.0,100,26,2025-2-20,19
임당동,2004,49.0,300,40,2025-2-12,22
조영동,2004,20.0,100,28,2025-2-18,22
압량읍 부적리,0,32.5,300,40,2025-2-21,0
압량읍 부적리,2017,32.5,300,40,2025-2-18,9
대동,2017,41.0,500,58,2025-2-3,9
조영동,2002,29.0,50,24,2025-2-8,24
대동,2015,21.0,200,28,2025-2-20,11
조영동,2017,202.0,200,30,2025-2-13,9
조영동,2012,27.0,100,26,2025-2-4,14
임당동,2003,33.0,200,25,2025-2-26,23
조영동,2012,27.0,100,29,2025-2-25,14
임당동,2001,24.2,50,20,2025-2-20,25
대동,2007,33.0,500,40,2025-2-27,19
압량읍 부적리,2011,65.0,2000,50,2025-2-24,15
조영동,2001,27.0,100,23,2025-2-22,25
조영동,2011,24.42,300,31,2025-2-21,15
압량읍 부적리,2018,50.44,500,30,2025-2-20,8
압량읍 부적리,2016,40.0,500,45,2025-2-4,10
압량읍 부적리,2019,35.5,2500,30,2025-2-26,7
대동,2002,20.0,50,26,2025-2-1,24
압량읍 부적리,2014,25.0,200,30,2025-2-19,12
조영동,2000,21.0,100,30,2025-2-23,26
임당동,2001,20.0,150,27,2025-2-22,25
조영동,2000,23.14,200,30,2025-2-25,26
조영동,2017,27.0,200,30,2025-2-15,9
조영동,2009,33.0,100,25,2025-2-24,17
임당동,2004,25.0,150,27,2025-2-9,22
임당동,2002,20.0,100,23,2025-2-24,24
조영동,2003,20.0,100,28,2025-2-21,23
대동,2004,25.0,50,30,2025-2-24,22
조영동,2007,26.0,100,25,2025-2-24,19
조영동,2013,20.0,150,27,2025-2-23,13
조영동,2013,25.0,100,26,2025-2-18,13
대동,2003,20.0,30,24,2025-2-20,23
조영동,2000,20.0,200,25,2025-2-16,26
조영동,2009,21.0,100,22,2025-2-24,17
조영동,2020,29.92,300,30,2025-2-24,6
대동,2012,20.0,300,50,2025-2-13,14
압량읍 부적리,2016,23.1,200,29,2025-2-24,10
대동,2011,25.0,200,30,2025-2-24,15
조영동,2012,27.0,100,30,2025-2-24,14
압량읍 부적리,2014,26.44,150,28,2025-2-23,12
조영동,2001,28.0,70,25,2025-2-21,25
압량읍 부적리,0,23.0,70,20,2025-2-15,0
대동,2013,20.0,200,35,2025-2-21,13
대동,2017,20.0,30,25,2025-2-7,9
압량읍 부적리,2017,29.75,500,40,2025-2-20,9
조영동,0,26.44,400,30,2025-2-2,0
조영동,2014,26.0,1000,30,2025-2-20,12
조영동,2007,23.0,50,26,2025-2-15,19
대동,2012,20.0,200,30,2025-2-5,14
조영동,0,20.0,200,29,2025-2-8,0
압량읍 부적리,0,25.0,200,27,2025-2-1,0
조영동,2016,25.0,200,30,2025-2-19,10
조영동,2012,21.175,150,28,2025-2-19,14
조영동,2008,23.1,100,28,2025-2-20,18
압량읍 부적리,2015,55.0,2000,45,2025-2-20,11
조영동,2016,22.0,300,30,2025-2-15,10
압량읍 부적리,2013,74.0,8000,20,2025-2-19,13
대동,2015,25.0,100,28,2025-2-18,11
대동,2019,27.14,200,30,2025-2-19,7
임당동,2006,20.0,100,25,2025-2-20,20
조영동,2017,27.0,200,30,2025-2-19,9
조영동,2006,20.0,4000,0,2025-2-16,20
압량읍 부적리,2018,30.0,200,30,2025-2-8,8
대동,2012,23.14,200,29,2025-2-15,14
대동,2004,42.97,200,35,2025-2-13,22
임당동,2003,20.0,50,30,2025-2-18,23
조영동,1999,27.0,150,28,2025-2-10,27
조영동,1999,19.38,100,22,2025-2-7,27
조영동,1999,23.14,150,29,2025-2-10,27
조영동,2017,20.0,500,30,2025-2-13,9
조영동,2018,27.0,200,30,2025-2-3,8
대동,2017,30.0,300,30,2025-2-14,9
대동,2012,49.6,200,40,2025-2-8,14
압량읍 부적리,2013,50.0,8000,0,2025-2-12,13
조영동,2016,27.0,200,28,2025-2-12,10
압량읍 부적리,2013,27.0,100,25,2025-2-5,13
조영동,2001,20.0,150,22,2025-2-1,25
조영동,2015,20.0,5000,0,2025-2-12,11
압량읍 부적리,2014,27.0,200,35,2025-2-11,12
조영동,2001,23.14,100,28,2025-2-2,25
조영동,2015,26.44,200,27,2025-2-10,11
조영동,2016,23.0,200,30,2025-2-4,10
조영동,2016,25.0,200,30,2025-2-10,10
조영동,1999,20.0,100,29,2025-2-10,27
대동,2002,20.0,200,29,2025-2-2,24
조영동,2002,25.0,30,25,2025-2-5,24
대동,2011,59.0,8000,0,2025-2-6,15
임당동,2004,35.5,100,30,2025-2-2,22
조영동,2002,27.0,100,30,2025-2-1,24
압량읍 부적리,2019,37.13,400,48,2025-2-4,7
조영동,2002,19.8,5700,0,2025-2-5,24
조영동,1999,25.0,200,30,2025-2-4,27
조영동,2016,75.0,1500,40,2025-1-12,10
조영동,1999,25.0,4500,0,2025-1-27,27
조영동,2000,30.0,200,30,2025-1-18,26
대동,2019,25.0,200,30,2025-1-1,7
조영동,2002,27.0,200,30,2025-1-4,24
조영동,2002,20.0,100,26,2025-1-10,24
조영동,2013,25.0,150,29,2025-1-11,13
임당동,2004,20.0,70,20,2025-1-1,22
조영동,2017,20.0,4500,0,2025-1-24,9
조영동,1999,25.0,4500,0,2025-1-27,27
조영동,2000,20.0,100,25,2025-1-15,26
압량읍 부적리,2014,40.0,300,50,2025-1-17,12
대동,2015,25.0,100,30,2025-1-16,11
대동,2012,20.0,50,29,2025-1-8,14
대동,2010,20.0,100,20,2025-1-10,16
임당동,2008,20.0,100,28,2025-1-2,18
조영동,2000,25.0,200,30,2025-1-13,26
조영동,2015,27.0,200,30,2025-1-14,11
대동,2011,20.0,100,28,2025-1-31,15
대동,2007,50.0,1000,30,2025-1-27,19
조영동,2018,35.0,1000,30,2025-1-8,8
대동,2014,20.0,200,30,2025-1-30,12
