건물명,주소,주용도,세대수,사용승인일,법정동,lat,lon,노후도
 ,경상북도 경산시 청운1로 56 (조영동),단독주택,0,19870718,조영동,35.8402740183351,128.755541100234,39
 ,경상북도 경산시 대학로67길 13-10 (조영동),단독주택,0,20130401,조영동,35.8400470658116,128.755717153993,13
 ,경상북도 경산시 청운로 57-5 (조영동),제2종근린생활시설,0,19861013,조영동,35.8399169164116,128.755842329982,40
 ,경상북도 경산시 대학로67길 13-7 (조영동),단독주택,0,20181031,조영동,35.8397925027378,128.755889499366,8
 ,경상북도 경산시 청운로 55 (조영동),단독주택,0,19950207,조영동,35.8396370099728,128.756003823731,31
 ,경상북도 경산시 청운로 57-1 (조영동),단독주택,18,19950227,조영동,35.8396993174123,128.756105906444,31
 ,경상북도 경산시 청운로 57 (조영동),단독주택,0,20100816,조영동,35.83980564058,128.756223678834,16
 ,경상북도 경산시 청운로 57-6 (조영동),단독주택,0,20161221,조영동,35.8400056567366,128.755948537092,10
 ,경상북도 경산시 청운로 59-5 (조영동),단독주택,0,20141224,조영동,35.8400862270571,128.756071164801,12
 ,경상북도 경산시 청운로 59-3 (조영동),단독주택,0,19860722,조영동,35.8400027343095,128.756173132289,40
 ,경상북도 경산시 청운로 59-1 (조영동),단독주택,0,20140123,조영동,35.8399133325336,128.756260139543,12
 ,경상북도 경산시 청운로 59 (조영동),단독주택,0,20131014,조영동,35.8398379702681,128.756354539027,13
 ,경상북도 경산시 청운로 61 (조영동),단독주택,0,20061204,조영동,35.8399434409929,128.756487454905,20
 ,경상북도 경산시 대학로67길 9 (조영동),단독주택,0,20120925,조영동,35.8400541497662,128.756434672017,14
 ,경상북도 경산시 청운로 59-4 (조영동),단독주택,0,20151214,조영동,35.8400908113973,128.756281538653,11
 ,경상북도 경산시 대학로67길 13-1 (조영동),단독주택,0,20150917,조영동,35.8401758194799,128.756180711283,11
 ,경상북도 경산시 대학로67길 11 (조영동),단독주택,0,20150331,조영동,35.840238780608,128.756293544254,11
 ,경상북도 경산시 대학로67길 9-1 (조영동),단독주택,0,20130807,조영동,35.8401588623866,128.756391385055,13
 ,경상북도 경산시 대학로67길 7 (조영동),단독주택,0,20060726,조영동,35.8400228653326,128.756571323354,20
 ,경상북도 경산시 대학로67길 12 (조영동),단독주택,0,20070202,조영동,35.8403928568069,128.756479547613,19
 ,경상북도 경산시 대학로67길 10-1 (조영동),단독주택,0,20161101,조영동,35.8402913673612,128.756548913139,10
 ,경상북도 경산시 청운로 62 (조영동),단독주택,0,19850904,조영동,35.8398817876818,128.756735101898,41
 ,경상북도 경산시 대학로67길 5 (조영동),단독주택,2,19921219,조영동,35.839772502994,128.756819899136,34
 ,경상북도 경산시 청운로 60-1 (조영동),단독주택,0,20100224,조영동,35.8398230738171,128.756621477416,16
 ,경상북도 경산시 청운로 60 (조영동),단독주택,0,20100126,조영동,35.8397202340697,128.756499686526,16
 ,경상북도 경산시 청운로 60-2 (조영동),단독주택,0,20110225,조영동,35.83962721066,128.756630991607,15
 ,경상북도 경산시 청운로 58-1 (조영동),단독주택,0,20160224,조영동,35.8395608887466,128.756526163999,10
 ,경상북도 경산시 청운로 58 (조영동),단독주택,0,20141107,조영동,35.8396550516828,128.756446345239,12
 ,경상북도 경산시 청운로 56 (조영동),단독주택,0,20130412,조영동,35.8395696259792,128.756273698991,13
 ,경상북도 경산시 청운로 56-1 (조영동),단독주택,0,20130412,조영동,35.8395102138021,128.756361920295,13
 ,경상북도 경산시 청운로 54 (조영동),단독주택,0,20130410,조영동,35.8394863855596,128.756191960577,13
 ,경상북도 경산시 청운로 63 (조영동),단독주택,0,20130308,조영동,35.8401283228559,128.756705124902,13
 ,경상북도 경산시 청운로 57-4 (조영동),단독주택,0,20180118,조영동,35.8399212045667,128.756060665066,8
 ,경상북도 경산시 대학로67길 13-8 (조영동),단독주택,0,20130114,조영동,35.8401886879359,128.755744180422,13
 ,경상북도 경산시 청운1로 55 (조영동),단독주택,0,20070308,조영동,35.840593811366,128.755499010903,19
 ,경상북도 경산시 대학로67길 23-3 (조영동),단독주택,0,20090723,조영동,35.8407586106012,128.75514240956,17
 ,경상북도 경산시 청운1로 53-3 (조영동),단독주택,0,20090624,조영동,35.8406584501802,128.755194873777,17
 ,경상북도 경산시 청운1로 53-1 (조영동),단독주택,0,20100628,조영동,35.8405610665936,128.755242308214,16
 ,경상북도 경산시 대학로67길 23-7 (조영동),단독주택,0,20020311,조영동,35.8405736846884,128.75491522271,24
 ,경상북도 경산시 대학로67길 23-5 (조영동),단독주택,0,20020311,조영동,35.840642793613,128.755051431584,24
 ,경상북도 경산시 둥지로 20-1 (조영동),단독주택,0,20020202,조영동,35.8404735150824,128.754962153378,24
 ,경상북도 경산시 둥지로 20-3 (조영동),단독주택,0,20020311,조영동,35.8405059745719,128.755096558512,24
 ,경상북도 경산시 둥지로 18 (조영동),제2종근린생활시설,0,20060921,조영동,35.8403398117412,128.75503457391,20
 ,경상북도 경산시 청운1로 51 (조영동),단독주택,0,20021008,조영동,35.8403580166443,128.75515162151,24
