매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),지하철역_도보(분),노후도
47641032,200,26,2,35.8422696486298,128.758855470916,경상북도 경산시 압량읍 부적리,858,343,151,235,2344,104,119,11,8
47640705,200,29,2,35.8385060812861,128.759368089223,경상북도 경산시 조영동,637,444,50,157,2236,37,176,8,13
47640527,300,36,2,35.8401419079707,128.759453026634,경상북도 경산시 압량읍 부적리,734,422,47,104,2300,84,47,9,11
47640518,200,31,3,35.8409824681273,128.755831843447,경상북도 경산시 조영동,588,95,49,182,2036,13,169,7,11
47640401,200,27,3,35.8381181814187,128.752892687269,경상북도 경산시 대동,205,138,60,132,1667,48,149,3,9
47640310,300,31,2,35.8426857229954,128.759444477589,경상북도 경산시 압량읍 부적리,928,406,161,249,2412,94,59,12,10
47640071,150,26,2,35.8407644449349,128.756654522964,경상북도 경산시 조영동,605,167,62,119,2093,75,140,8,8
47639999,200,21,1,35.84213558141,128.75142160989,경상북도 경산시 임당동,664,340,133,545,1758,25,143,8,24
47639819,100,21,3,35.8431061792383,128.751539240503,경상북도 경산시 임당동,769,364,152,629,1831,106,147,10,8
47639806,300,31,2,35.8428434782253,128.759058944733,경상북도 경산시 압량읍 부적리,920,378,179,287,2389,69,95,12,9
47639749,200,29,3,35.8415726717679,128.757627336635,경상북도 경산시 압량읍 부적리,729,224,117,164,2210,31,122,9,18
47634475,200,43,3,35.8389684806623,128.75269515277,경상북도 경산시 조영동,300,89,40,223,1686,48,240,4,25
47633723,200,31,2,35.8394956093357,128.759238550287,경상북도 경산시 압량읍 부적리,678,423,114,116,2258,11,67,8,12
47627940,100,22,3,35.8385750023731,128.754032105073,경상북도 경산시 조영동,277,78,56,100,1781,75,176,3,25
47627105,200,29,3,35.83932495117189,128.75253295898483,경상북도 경산시 조영동,340,101,80,258,1688,39,228,4,27
47625755,200,30,2,35.8379714034552,128.758915493752,경상북도 경산시 조영동,578,422,30,174,2181,101,231,7,14
47625606,300,50,4,35.8390348761498,128.757415294553,경상북도 경산시 조영동,513,260,98,57,2086,98,154,6,13
47624485,200,27,3,35.8388970552783,128.751475565832,경상북도 경산시 대동,317,198,94,282,1582,86,297,4,14
47624304,200,38,2,35.8387092461318,128.750561523475,경상북도 경산시 대동,341,283,128,325,1498,66,348,4,13
47623307,200,33,4,35.8386866609946,128.757749354472,경상북도 경산시 조영동,516,298,124,73,2102,138,182,6,15
47623034,200,38,3,35.8395600746935,128.753491376099,경상북도 경산시 조영동,370,42,12,205,1778,55,171,5,26
47621782,300,55,4,35.83806215852456,128.7516798706624,경상북도 경산시 대동,225,218,7,202,1563,35,225,3,7
47618088,200,31,2,35.8410475632123,128.755613706736,경상북도 경산시 조영동,586,77,57,202,2022,29,149,7,11
47617934,150,29,1,35.8400571031729,128.752937790713,경상북도 경산시 조영동,420,114,87,279,1757,98,140,5,27
47617908,200,30,2,35.8384452926271,128.751378647701,경상북도 경산시 대동,275,221,53,251,1554,68,271,3,14
47617095,200,32,3,35.839801993885,128.754394784948,경상북도 경산시 조영동,416,51,32,186,1863,116,149,5,13
47615962,70,16,2,35.8407541005595,128.753278945171,경상북도 경산시 조영동,499,175,126,324,1820,97,63,6,24
47615705,70,22,1,35.8403923468347,128.753078083755,경상북도 경산시 조영동,458,141,112,300,1785,99,103,6,26
47615431,100,23,3,35.8420046547196,128.750648338535,경상북도 경산시 임당동,667,393,79,579,1693,51,92,8,24
47615225,200,27,3,35.8409805199581,128.753836842393,경상북도 경산시 조영동,530,138,111,326,1876,125,10,7,26
47614313,100,23,1,35.8419433633431,128.751638506761,경상북도 경산시 임당동,640,318,159,516,1762,52,169,8,24
47613198,200,38,2,35.8386281989666,128.754313930231,경상북도 경산시 조영동,293,84,65,80,1807,91,187,4,24
47613095,200,35,3,35.8392217870554,128.759495008596,경상북도 경산시 압량읍 부적리,682,358,130,140,2270,39,105,9,13
47610353,150,33,1,35.8406172765717,128.753626980724,경상북도 경산시 조영동,488,157,92,296,1840,131,54,6,26
47609847,200,35,3,35.8395600746942,128.753491376098,경상북도 경산시 조영동,370,42,12,205,1778,55,171,5,26
47609649,200,38,2,35.8394034958635,128.756597837356,경상북도 경산시 조영동,484,184,33,73,2030,33,168,6,10
47609569,200,30,3,35.840076312331,128.756958850487,경상북도 경산시 조영동,561,231,19,40,2088,96,106,7,10
47608381,300,43,3,35.8404779001754,128.756894002318,경상북도 경산시 조영동,592,203,26,81,2100,69,110,7,11
47607381,200,25,3,35.8400763123303,128.756958850488,경상북도 경산시 조영동,561,231,19,40,2088,96,106,7,10
47607267,100,22,3,35.8382845661093,128.75295190369,경상북도 경산시 대동,223,120,47,145,1679,33,162,3,23
47603745,100,27,2,35.8401896372745,128.755740881247,경상북도 경산시 조영동,507,141,37,142,1992,51,192,6,13
47603676,200,35,3,35.8373825488565,128.757509537547,경상북도 경산시 조영동,437,345,147,219,2042,226,303,5,8
47603261,300,40,3,35.8393791203819,128.753442571656,경상북도 경산시 조영동,349,26,16,194,1766,35,191,4,26
47602941,100,20,2,35.8398574463648,128.751044708729,경상북도 경산시 대동,430,245,208,387,1595,108,287,5,15
47601859,200,30,3,35.8386749013725,128.751291952268,경상북도 경산시 대동,302,220,78,275,1557,89,293,4,13
47599934,70,21,3,35.8407982750747,128.75388263138362,경상북도 경산시 조영동,511,146,92,306,1870,145,30,6,25
47599538,200,25,3,35.8411130244437,128.753241470739,경상북도 경산시 임당동,539,180,155,361,1836,92,56,7,25
47598786,200,40,1,35.8373416662734,128.751157397616,경상북도 경산시 대동,194,305,12,203,1491,113,241,2,14
47596117,200,40,1,35.8369234140052,128.752000770827,경상북도 경산시 대동,105,293,40,119,1550,134,162,1,10
47595658,200,29,2,35.8407867376239,128.755141590639,경상북도 경산시 조영동,542,93,62,218,1971,63,113,7,17
47595607,200,40,2,35.8391006216776,128.753933785512,경상북도 경산시 조영동,329,29,12,141,1794,43,219,4,23
47590746,100,23,1,35.8387264464297,128.754441812874,경상북도 경산시 조영동,308,71,67,79,1822,96,201,4,22
47590744,400,40,2,35.8402548986317,128.754444159126,경상북도 경산시 조영동,465,100,18,233,1888,125,105,6,24
47590741,200,30,3,35.8381484256469,128.752919691609,경상북도 경산시 대동,208,134,61,134,1671,45,150,3,9
47590734,200,29,3,35.8399884143587,128.759418316543,경상북도 경산시 압량읍 부적리,721,273,60,104,2291,67,44,9,12
